,titel,vorname,nachname,fraktion,id,ortszusatz,rolle,namenszusatz
11002190,Dr. ,Hermann Otto,Solms,FDP,11002190,,,
11003218,,Carsten,Schneider,SPD,11003218,(Erfurt),,
11004662,Dr. ,Bernd,Baumann,AfD,11004662,,,
11003790,,Jan,Korte,DIE LINKE,11003790,,,
11003541,,Michael,Grosse-Brömer,CDU/CSU,11003541,,,
11004023,Dr. ,Marco,Buschmann,FDP,11004023,,,
11003764,,Britta,Haßelmann,BÜNDNIS 90/DIE GRÜNEN,11003764,,,
11001074,,Volker,Kauder,CDU/CSU,11001074,,,
11001938,,Dr. Wolfgang,Schäuble,,11001938,,Präsident Dr. Wolfgang Schäuble,
11003124,Dr. ,Hans-Peter,Friedrich,CDU/CSU,11003124,(Hof),,
11003820,,Thomas,Oppermann,SPD,11003820,,,
11001235,,Wolfgang,Kubicki,FDP,11001235,,,
11003206,,Petra,Pau,DIE LINKE,11003206,,,
11003212,,Claudia,Roth,BÜNDNIS 90/DIE GRÜNEN,11003212,(Augsburg),,
11004092,Dr. ,Ursula,Leyen,,11004092,,Bundesministerin der Verteidigung,von der
11004226,,Wolfgang,Hellmich,SPD,11004226,,,
11004842,,Jan Ralf,Nolte,AfD,11004842,,,
11004798,,Alexander,Graf Lambsdorff,FDP,11004798,,,
11004361,Dr. ,Alexander S. ,Neu,DIE LINKE,11004361,,,
11004217,Dr. ,Tobias,Lindner,BÜNDNIS 90/DIE GRÜNEN,11004217,,,
11004050,,Jürgen,Hardt,CDU/CSU,11004050,,,
11004438,,Gabi,Weber,SPD,11004438,,,
11004018,Dr. ,Reinhard,Brandl,CDU/CSU,11004018,,,
11003755,,Sigmar,Gabriel,SPD,11003755,,,
11004781,,Norbert,Kleinwächter,AfD,11004781,,,
11003802,,Michael Georg,Link,FDP,11003802,(Heilbronn),,
11003746,,Sevim,Dağdelen,DIE LINKE,11003746,,,
11004106,,Agnieszka,Brugger,BÜNDNIS 90/DIE GRÜNEN,11004106,,,
11003821,,Henning,Otte,CDU/CSU,11003821,,,
11004724,Dr. ,Alexander,Gauland,AfD,11004724,,,
11003763,,Heike,Hänsel,DIE LINKE,11003763,,,
11003246,,Jürgen,Trittin,BÜNDNIS 90/DIE GRÜNEN,11003246,,,
11004048,,Florian,Hahn,CDU/CSU,11004048,,,
11003055,Dr. ,Ralf,Brauksiepe,CDU/CSU,11003055,,,
11003710,Dr. ,Bärbel,Kofler,SPD,11003710,,,
11004846,,Gerold,Otten,AfD,11004846,,,
11004906,Dr. ,Marie-Agnes,Strack-Zimmermann,FDP,11004906,,,
11004181,,Kathrin,Vogler,DIE LINKE,11004181,,,
11004066,,Uwe,Kekeritz,BÜNDNIS 90/DIE GRÜNEN,11004066,,,
11004357,,Elisabeth,Motschmann,CDU/CSU,11004357,,,
11004362,Dr. ,Andreas,Nick,CDU/CSU,11004362,,,
11003846,,Frank,Schwabe,SPD,11003846,,,
11004029,,Bijan,Djir-Sarai,FDP,11004029,,,
11004852,,Tobias,Pflüger,DIE LINKE,11004852,,,
11004145,Dr. ,Frithjof,Schmidt,BÜNDNIS 90/DIE GRÜNEN,11004145,,,
11004276,,Thorsten,Frei,CDU/CSU,11004276,,,
11004886,,Martin,Schulz,SPD,11004886,,,
11003608,Dr. ,Joachim,Pfeiffer,CDU/CSU,11003608,,,
11004695,,Tino,Chrupalla,AfD,11004695,,,
11004746,,Torsten,Herbst,FDP,11004746,,,
11003753,,Klaus,Ernst,DIE LINKE,11003753,,,
11004085,,Stephan,Kühn,BÜNDNIS 90/DIE GRÜNEN,11004085,(Dresden),,
11003796,,Andreas G. ,Lämmel,CDU/CSU,11003796,,,
11003896,Dr. ,Eva,Högl,,11003896,,Wehrbeauftragte des Deutschen Bundestages,
11004751,Dr. ,Heiko,Heßenkemper,AfD,11004751,,,
11004339,Dr. ,Andreas,Lenz,CDU/CSU,11004339,,,
11004318,,Thomas,Jurk,SPD,11004318,,,
11004398,,Jana,Schimke,CDU/CSU,11004398,,,
2837598228124174,,Peter,Altmaier,,2837598228124174,,Bundesminister der Finanzen,
11004932,Dr. ,Harald,Weyel,AfD,11004932,,,
11004705,,Christian,Dürr,FDP,11004705,,,
11004817,,Fabio,De Masi,DIE LINKE,11004817,,,
11004070,,Sven-Christian,Kindler,BÜNDNIS 90/DIE GRÜNEN,11004070,,,
11002738,Dr.  h. c. (Univ Kyiv),Hans,Michelbach,CDU/CSU,11002738,,,
11003196,,Andrea,Nahles,SPD,11003196,,,
11004669,,Marc,Bernhard,AfD,11004669,,,
11004864,,Bernd,Reuther,FDP,11004864,,,
11004080,,Jutta,Krellmann,DIE LINKE,11004080,,,
11003493,,Kerstin,Andreae,BÜNDNIS 90/DIE GRÜNEN,11003493,,,
11004264,,Hansjörg,Durz,CDU/CSU,11004264,,,
11004930,Dr. ,Alice,Weidel,AfD,11004930,,,
11003826,,Eckhardt,Rehberg,CDU/CSU,11003826,,,
11003545,,Bettina,Hagedorn,,11003545,,Parl. Staatssekretärin beim Bundesminister der Finanzen,
11003530,,Otto,Fricke,FDP,11003530,,,
11004060,,Andrej,Hunko,DIE LINKE,11004060,,,
11003889,,Manuel,Sarrazin,BÜNDNIS 90/DIE GRÜNEN,11003889,,,
11002280,,Michael,Stübgen,,11002280,,Parl. Staatssekretär bei der Bundesministerin für Ernährung und Landwirtschaft,
11004605,,Christian,Petry,SPD,11004605,,,
11004675,,Peter,Boehringer,AfD,11004675,,,
11004186,,Harald,Weinberg,DIE LINKE,11004186,,,
11004135,,Lothar,Riebsamen,CDU/CSU,11004135,,,
11003797,Dr. ,Karl,Lauterbach,SPD,11003797,,,
11004725,Dr. ,Axel,Gehrke,AfD,11004725,,,
11004003,,Christine,Aschenberg-Dugnus,FDP,11004003,,,
11004072,,Maria,Klein-Schmeink,BÜNDNIS 90/DIE GRÜNEN,11004072,,,
11004311,,Erich,Irlstorfer,CDU/CSU,11004311,,,
11003588,,Hilde,Mattheis,SPD,11003588,,,
11004139,,Erwin,Rüddel,CDU/CSU,11004139,,,
11004081,,Oliver,Krischer,BÜNDNIS 90/DIE GRÜNEN,11004081,,,
11004440,Dr. ,Anja,Weisgerber,CDU/CSU,11004440,,,
11002672,Dr. ,Barbara,Hendricks,SPD,11002672,,,
11004752,,Karsten,Hilse,AfD,11004752,,,
11004786,Dr. ,Lukas,Köhler,FDP,11004786,,,
11004672,,Lorenz Gösta,Beutin,DIE LINKE,11004672,,,
11003780,,Andreas,Jung,CDU/CSU,11003780,,,
11004442,,Bernd,Westphal,SPD,11004442,,,
11003732,,Niels,Annen,,11003732,,Staatsminister im Auswärtigen Amt,
11004807,,Rüdiger,Lucassen,AfD,11004807,,,
11004075,,Pascal,Kober,FDP,11004075,,,
11004022,,Christine,Buchholz,DIE LINKE,11004022,,,
11004843,,Ulrich,Oehme,AfD,11004843,,,
11004093,,Stefan,Liebich,DIE LINKE,11004093,,,
11003881,,Omid,Nouripour,BÜNDNIS 90/DIE GRÜNEN,11003881,,,
11002765,Dr. ,Norbert,Röttgen,CDU/CSU,11002765,,,
11003599,Dr. ,Rolf,Mützenich,SPD,11003599,,,
11004383,,Alexander,Radwan,CDU/CSU,11004383,,,
11004735,,Armin-Paulus,Hampel,AfD,11004735,,,
11004068,,Roderich,Kiesewetter,CDU/CSU,11004068,,,
11004296,,Gabriela,Heinrich,SPD,11004296,,,
11004182,Dr. ,Johann David,Wadephul,CDU/CSU,11004182,,,
11004291,,Sebastian,Hartmann,SPD,11004291,,,
11003589,,Stephan,Mayer,,11003589,,"Parl. Staatssekretär beim Bundesminister des Innern, für Bau und Heimat",
11004698,Dr. ,Gottfried,Curio,AfD,11004698,,,
11004175,,Stephan,Thomae,FDP,11004175,,,
11004837,,Zaklin,Nastic,DIE LINKE,11004837,,,
11004857,,Filiz,Polat,BÜNDNIS 90/DIE GRÜNEN,11004857,,,
11004056,,Ansgar,Heveling,CDU/CSU,11004056,,,
11004079,,Daniela,Kolbe,SPD,11004079,,,
11004049,Dr. ,Stephan,Harbarth,CDU/CSU,11004049,,,
11003782,,Josip,Juratovic,SPD,11003782,,,
11001023,,Ulla,Jelpke,DIE LINKE,11001023,,,
11004243,,Luise,Amtsberg,BÜNDNIS 90/DIE GRÜNEN,11004243,,,
11004688,Dr. ,Birke,Bull-Bischoff,DIE LINKE,11004688,,,
11004065,Dr. ,Stefan,Kaufmann,CDU/CSU,11004065,,,
11003211,Dr. ,Ernst Dieter,Rossmann,SPD,11003211,,,
11004722,Dr. ,Götz,Frömming,AfD,11004722,,,
11004910,,Katja,Suding,FDP,11004910,,,
11003756,,Kai,Gehring,BÜNDNIS 90/DIE GRÜNEN,11003756,,,
11004143,,Tankred,Schipanski,CDU/CSU,11004143,,,
11004267,,Saskia,Esken,SPD,11004267,,,
11004063,,Oliver,Kaczmarek,SPD,11004063,,,
11004256,Dr. ,Karl-Heinz,Brunner,SPD,11004256,,,
11004255,Dr. ,Franziska,Brantner,BÜNDNIS 90/DIE GRÜNEN,11004255,,,
11004036,,Ingo,Gädechens,CDU/CSU,11004036,,,
11004359,,Michelle,Müntefering,,11004359,,Staatsministerin im Auswärtigen Amt,
11004714,,Peter,Felser,AfD,11004714,,,
11004813,Dr. ,Birgit,Malsack-Winkemann,AfD,11004813,,,
11004759,,Matthias,Höhn,DIE LINKE,11004759,,,
11004900,,René,Springer,AfD,11004900,,,
11004826,,Siemtje,Möller,SPD,11004826,,,
11004777,,Jens,Kestner,AfD,11004777,,,
11004067,,Katja,Keul,BÜNDNIS 90/DIE GRÜNEN,11004067,,,
11004378,,Achim,Post,SPD,11004378,(Minden),,
11004152,,Detlef,Seif,CDU/CSU,11004152,,,
11004921,,Markus,Töns,SPD,11004921,,,
11004740,,Martin,Hebner,AfD,11004740,,,
11004272,Dr. ,Fritz,Felgentreu,SPD,11004272,,,
11004787,,Enrico,Komning,AfD,11004787,,,
11004763,,Reinhard,Houben,FDP,11004763,,,
11004103,,Thomas,Lutze,DIE LINKE,11004103,,,
11004830,,Claudia,Müller,BÜNDNIS 90/DIE GRÜNEN,11004830,,,
11004696,,Joana,Cotar,AfD,11004696,,,
11003865,,Elisabeth,Winkelmeier-Becker,,11003865,,Parl. Staatssekretärin beim Bundesminister für Wirtschaft und Energie,
11004270,Dr. ,Johannes,Fechner,SPD,11004270,,,
11004668,,Nicola,Beer,FDP,11004668,,,
11004703,,Anke,Domscheit-Berg,DIE LINKE,11004703,,,
11004138,,Tabea,Rößner,BÜNDNIS 90/DIE GRÜNEN,11004138,,,
11004061,,Thomas,Jarzombek,CDU/CSU,11004061,,,
11004603,Dr. ,Jens,Zimmermann,SPD,11004603,,,
11004304,,Alexander,Hoffmann,CDU/CSU,11004304,,,
11004678,,Stephan,Brandner,AfD,11004678,,,
11004851,Dr. ,Frauke,Petry,Fraktionslos,11004851,,,
11004114,,Niema,Movassat,DIE LINKE,11004114,,,
11004123,Dr. ,Konstantin,von Notz,BÜNDNIS 90/DIE GRÜNEN,11004123,,,
11004427,Dr. ,Volker,Ullrich,CDU/CSU,11004427,,,
11004057,,Manuel,Höferlin,FDP,11004057,,,
11003034,Dr. ,Dietmar,Bartsch,DIE LINKE,11003034,,,
11004098,Dr. ,Carsten,Linnemann,CDU/CSU,11004098,,,
11004392,,Bernd,Rützel,SPD,11004392,,,
11004791,,Steffen,Kotré,AfD,11004791,,,
11004914,,Michael,Theurer,FDP,11004914,,,
11004263,,Katharina,Dröge,BÜNDNIS 90/DIE GRÜNEN,11004263,,,
11004439,,Albert H. ,Weiler,CDU/CSU,11004439,,,
11004039,,Michael,Gerdes,SPD,11004039,,,
11003255,,Peter,Weiß,CDU/CSU,11003255,(Emmendingen),,
11004215,,Harald,Ebner,BÜNDNIS 90/DIE GRÜNEN,11004215,,,
11004269,,Hermann,Färber,CDU/CSU,11004269,,,
11003576,,Renate,Künast,BÜNDNIS 90/DIE GRÜNEN,11003576,,,
11004858,,Stephan,Protschka,AfD,11004858,,,
11004894,,Frank,Sitta,FDP,11004894,,,
11003853,Dr. ,Kirsten,Tackmann,DIE LINKE,11003853,,,
11003596,,Marlene,Mortler,CDU/CSU,11003596,,,
11004287,,Rita,Hagl-Kehl,,11004287,,Parl. Staatssekretärin bei der Bundesministerin der Justiz und für Verbraucherschutz,
11004105,Dr. ,Thomas,de Maizière,CDU/CSU,11004105,,,
11004441,,Marian,Wendt,CDU/CSU,11004441,,,
11004342,,Andrea,Lindholz,CDU/CSU,11004342,,,
11004748,,Lars,Herrmann,Fraktionslos,11004748,,,
11004907,,Friedrich,Straetmanns,DIE LINKE,11004907,,,
11004801,,Sven,Lehmann,BÜNDNIS 90/DIE GRÜNEN,11004801,,,
11004034,,Michael,Frieser,CDU/CSU,11004034,,,
11004905,,Beatrix,von Storch,AfD,11004905,,,
11004396,Dr. ,Nina,Scheer,SPD,11004396,,,
11004329,,Arno,Klare,SPD,11004329,,,
11004433,,Dirk,Vöpel,SPD,11004433,,,
11004010,,Peter,Beyer,CDU/CSU,11004010,,,
11001434,,Christoph,Matschie,SPD,11001434,,,
11004778,,Stefan,Keuter,AfD,11004778,,,
11004731,,Kay,Gottschalk,AfD,11004731,,,
11004164,,Sonja Amalie,Steffen,SPD,11004164,,,
11004796,,Konstantin,Kuhle,FDP,11004796,,,
11004088,,Caren,Lay,DIE LINKE,11004088,,,
11004259,Dr. ,Karamba,Diaby,SPD,11004259,,,
11004391,,Susann,Rüthrich,SPD,11004391,,,
11004305,Dr. ,Hendrik,Hoppenstedt,,11004305,,Staatsminister bei der Bundeskanzlerin,
11004863,,Roman Johannes,Reusch,AfD,11004863,,,
11004288,Dr. ,André,Hahn,DIE LINKE,11004288,,,
11003132,,Katrin,Göring-Eckardt,BÜNDNIS 90/DIE GRÜNEN,11003132,,,
11004100,Dr. ,Jan-Marco,Luczak,CDU/CSU,11004100,,,
11004248,Dr. ,Matthias,Bartke,SPD,11004248,,,
11004149,,Armin,Schuster,CDU/CSU,11004149,(Weil am Rhein),,
11004257,Dr. ,Lars,Castellucci,SPD,11004257,,,
11004908,,Benjamin,Strasser,FDP,11004908,,,
11004282,,Uli,Grötsch,SPD,11004282,,,
11003856,Dr. ,Florian,Toncar,FDP,11003856,,,
11004021,,Ralph,Brinkhaus,CDU/CSU,11004021,,,
11003157,,Johannes,Kahrs,SPD,11003157,,,
11003858,,Alexander,Ulrich,DIE LINKE,11003858,,,
11003837,Dr. ,Gerhard,Schick,BÜNDNIS 90/DIE GRÜNEN,11003837,,,
11004280,,Ursula,Groden-Kranich,CDU/CSU,11004280,,,
11003784,,Alois,Karl,CDU/CSU,11003784,,,
11004865,,Bernd,Riexinger,DIE LINKE,11004865,,,
11004192,Dr. ,Matthias,Zimmer,CDU/CSU,11004192,,,
11004856,,Jürgen,Pohl,AfD,11004856,,,
11004179,,Johannes,Vogel,FDP,11004179,(Olpe),,
11004117,,Beate,Müller-Gemmeke,BÜNDNIS 90/DIE GRÜNEN,11004117,,,
11004365,,Wilfried,Oellers,CDU/CSU,11004365,,,
11003440,,Kerstin,Griese,,11003440,,Parl. Staatssekretärin beim Bundesminister für Arbeit und Soziales,
11004127,,Lisa,Paus,BÜNDNIS 90/DIE GRÜNEN,11004127,,,
11004110,Dr. ,Mathias,Middelberg,CDU/CSU,11004110,,,
11003050,,Lothar,Binding,SPD,11003050,(Heidelberg),,
11004761,,Leif-Erik,Holm,AfD,11004761,,,
11004271,,Uwe,Feiler,CDU/CSU,11004271,,,
11004247,Dr. ,Katarina,Barley,,11004247,,Bundesministerin der Justiz und für Verbraucherschutz,
11004370,,Sylvia,Pantel,CDU/CSU,11004370,,,
11004764,,Johannes,Huber,AfD,11004764,,,
11004188,,Katrin,Werner,DIE LINKE,11004188,,,
